Server Partion Basic_size(GB) Free_size(GB) F_Percentage Share_name Share_path
Server Partion Basic_size(GB) Free_size(GB) F_Percentage Share_name Share_path
idmt-filet D: 911.43 69.78 7.655% Scenes F:\Scenes
idmt-filet D: 911.43 69.78 7.655% Qsanguo F:\Projects\Qsanguo
idmt-filet D: 911.43 69.78 7.655% Productions_Reserved F:\Productions_Reserved
idmt-filet D: 911.43 69.78 7.655% Daily_N F:\Daily_N
idmt-filet D: 911.43 69.78 7.655% SK_Project F:\Projects\Strawberry\Project
idmt-filet D: 911.43 69.78 7.655% WO_Compositing F:\Projects\WO_Compositing
idmt-filet F: 12102.87 4171.51 34.46% MT_Project F:\Projects\MayaTheBee\Project
idmt-filet F: 12102.87 4171.51 34.46% SHOT_ROMA F:\Projects\SHOT_ROMA
idmt-filet F: 12102.87 4171.51 34.46% Scenes F:\Scenes
idmt-filet F: 12102.87 4171.51 34.46% Qsanguo F:\Projects\Qsanguo
idmt-filet F: 12102.87 4171.51 34.46% Productions_Reserved F:\Productions_Reserved
idmt-filet F: 12102.87 4171.51 34.46% Daily_N F:\Daily_N
idmt-filet F: 12102.87 4171.51 34.46% SK_Project F:\Projects\Strawberry\Project
idmt-filet F: 12102.87 4171.51 34.46% WO_Compositing F:\Projects\WO_Compositing
idmt-fileu D: 911.43 1.90 0.208% TM_Post_P F:\Projects\TTMS\Post_Production
idmt-fileu D: 911.43 1.90 0.208% TM_Project_data F:\Projects\TTMS\Project\data
idmt-fileu D: 911.43 1.90 0.208% Scratch F:\Scratch
idmt-fileu D: 911.43 1.90 0.208% NG_COMP_EVEN F:\Projects\Ninjago\NG_COMP_EVEN
idmt-fileu D: 911.43 1.90 0.208% PigPig F:\Projects\PigPig
idmt-fileu D: 911.43 1.90 0.208% ROMA_EXR_EVEN F:\Projects\ROMA\ROMA_EXR_EVEN
idmt-fileu D: 911.43 1.90 0.208% SK_Compositing F:\Projects\SK_Compositing
idmt-fileu F: 12102.87 7169.46 59.23% TM_Post_P F:\Projects\TTMS\Post_Production
idmt-fileu F: 12102.87 7169.46 59.23% TM_Project_data F:\Projects\TTMS\Project\data
idmt-fileu F: 12102.87 7169.46 59.23% Scratch F:\Scratch
idmt-fileu F: 12102.87 7169.46 59.23% NG_COMP_EVEN F:\Projects\Ninjago\NG_COMP_EVEN
idmt-fileu F: 12102.87 7169.46 59.23% PigPig F:\Projects\PigPig
idmt-fileu F: 12102.87 7169.46 59.23% ROMA_EXR_EVEN F:\Projects\ROMA\ROMA_EXR_EVEN
idmt-fileu F: 12102.87 7169.46 59.23% SK_Compositing F:\Projects\SK_Compositing
idmt-filev F: 4075.51 1873.88 45.97% GT_Post_Production F:\Projects\GummiTarzan\Post_Production
idmt-filev F: 4075.51 1873.88 45.97% LR_Images F:\Projects\LR_Images
idmt-filev F: 4075.51 1873.88 45.97% test F:\test
idmt-filev F: 4075.51 1873.88 45.97% SS_Reference F:\Projects\SS_Reference
idmt-filev F: 4075.51 1873.88 45.97% GT_Daily F:\GT_Daily
idmt-filev F: 4075.51 1873.88 45.97% Calimero F:\Projects\Calimero
idmt-filev F: 4075.51 1873.88 45.97% TM_MOV F:\Projects\TM_MOV
idmt-filev F: 4075.51 1873.88 45.97% WO_MOV F:\Projects\WO_MOV
idmt-filev F: 4075.51 1873.88 45.97% OT_Post_P F:\Projects\OTTO\Post_Production
idmt-filev F: 4075.51 1873.88 45.97% GT_Reference F:\Projects\GummiTarzan\Reference
idmt-filev F: 4075.51 1873.88 45.97% GT_Project F:\Projects\GummiTarzan\Project
idmt-filev F: 4075.51 1873.88 45.97% OT_Reference F:\Projects\OTTO\Reference
idmt-filev F: 4075.51 1873.88 45.97% RR_Compositing F:\Projects\RR_Compositing
idmt-filev F: 4075.51 1873.88 45.97% SK_project_data F:\Projects\Strawberry\Project\data
idmt-filew F: 2794.52 2062.95 73.82% HM_Post_P F:\projects\HeartBroken\Post_Production
idmt-filew F: 2794.52 2062.95 73.82% Maya_Even F:\Maya_Even
idmt-filew F: 2794.52 2062.95 73.82% HM_Reference F:\projects\HeartBroken\Reference
idmt-filew F: 2794.52 2062.95 73.82% Scenes F:\Scenes
